Ticker,final_score,score_basis,rating,category,price,weighted_rating,fund_rating_score,rating_cycles,rating_date,technical_score,vs50MA%,vs200MA%,RSI,VolSurge,1D%,1W%,1M%,AnnVol%,MaxDD%,AvgDollarVol,BarsFetched,RelStrength_AvgBench,RelStrength_vs_SPY,RelStrength_vs_DJI,RelStrength_vs_SPX,RelStrength_vs_IXIC,Flags,RelStrength_vs_AGG,RelStrength_vs_BND,RelStrength_vs_EFA,RelStrength_vs_VXUS,RelStrength_vs_EEM,RelStrength_vs_VNQ,RelStrength_vs_DBC,RelStrength_vs_GLD
MMCA,73.6,blended,Hold,equity_us,20.93,5.0,100.0,3yr,2026-08-31,67,-0.6,-1.9,50.7,2.31,-0.3,-0.5,-2.9,5.3,-5.9,521585.0,2384,0.3,0.3,1.5,0.0,-0.6,"Downtrend, VolumeSurge, MACD+, BeatingAvgBench, LowLiquidity",,,,,,,,
FLRT,72.8,blended,Hold,equity_us,46.85,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,71,0.1,0.1,61.3,2.52,0.1,0.2,-0.0,2.9,-4.6,6691381.0,5075,1.0,0.9,2.2,0.7,0.1,"VolumeSurge, MACD+, BeatingAvgBench, BeatingAllBench",,,,,,,,
MOOD,72.0,blended,Hold,equity_us,44.47,5.0,100.0,3yr,2026-08-31,65,0.2,0.5,58.9,2.19,-0.0,0.4,-0.1,16.1,-9.1,1283964.0,2379,1.2,1.2,2.4,0.9,0.3,"Uptrend, VolumeSurge, MACD+, BeatingAvgBench, BeatingAllBench",,,,,,,,
BMOP,71.6,blended,Hold,equity_us,24.01,4.1,82.0,"3yr, 5yr, 10yr",2026-08-31,69,-0.3,-2.0,48.5,2.64,-0.0,-0.4,-2.8,5.2,-5.1,2925098.0,1014,0.4,0.3,1.6,0.1,-0.5,"Downtrend, VolumeSurge, MACD+, BeatingAvgBench, ShortHistory",,,,,,,,
GDMA,71.2,blended,Hold,equity_intl,41.51,5.0,100.0,"3yr, 5yr",2026-08-31,64,-1.1,-1.9,53.3,4.35,0.3,-2.6,-2.4,18.2,-13.6,1093522.0,2770,-0.8,,,,,"Downtrend, VolumeSurge, MACD+",,,-0.8,-0.8,,,,
SDSI,70.4,blended,Hold,bond,50.7,4.0,80.0,3yr,2026-08-31,68,-0.2,-0.7,41.6,3.26,-0.1,-0.1,-1.0,3.7,-2.9,2308013.0,3196,-0.1,,,,,"Downtrend, VolumeSurge, MACD+",-0.1,-0.1,,,,,,
IWL,69.6,blended,Hold,equity_us,188.87,4.4,88.0,"3yr, 5yr, 10yr",2026-08-31,65,0.0,-0.6,52.0,5.86,-0.1,-0.6,-0.3,14.8,-19.9,9173970.0,5073,0.1,0.1,1.4,-0.1,-0.8,"VolumeSurge, MACD+, BeatingAvgBench",,,,,,,,
VEMY,68.8,blended,Hold,bond,28.24,5.0,100.0,3yr,2026-08-31,61,-0.4,-1.0,58.8,17.33,-0.0,-0.8,-1.6,11.0,-9.8,675961.0,2291,-0.8,,,,,"Downtrend, VolumeSurge, MACD+, LowLiquidity",-0.8,-0.8,,,,,,
FWD,68.0,blended,Hold,equity_intl,127.7,5.0,100.0,3yr,2026-08-31,60,0.7,-1.4,55.9,4.14,-0.3,-0.1,-1.1,27.5,-29.6,21929139.0,4301,1.6,,,,,"VolumeSurge, MACD+, BeatingAvgBench, BeatingAllBench",,,1.7,1.6,,,,
MINO,67.2,blended,Hold,equity_us,43.5,5.0,100.0,3yr,2026-08-31,59,-0.3,-2.1,52.2,1.47,-0.3,-0.4,-2.8,5.7,-8.2,7603618.0,4941,0.4,0.3,1.6,0.1,-0.6,"Downtrend, MACD+, BeatingAvgBench",,,,,,,,
